method,horizon,n_points,mse,rmse,mae,persistence_mse,skill_vs_persistence,rmse_pp,mae_pp
persistence,1,200,0.003700165000000001,0.060828981579506995,0.030154999999999998,0.003700165000000001,0.0,6.0828981579507,3.0155
persistence,2,200,0.003475485,0.0589532441855408,0.033325,0.003475485,0.0,5.89532441855408,3.3325
persistence,3,200,0.00551848,0.07428647252360285,0.04046,0.00551848,0.0,7.4286472523602844,4.046
persistence,4,200,0.00704931,0.08396016912798591,0.043789999999999996,0.00704931,0.0,8.396016912798592,4.379
persistence,5,200,0.007779505,0.08820150225478021,0.050375,0.007779505,0.0,8.820150225478022,5.0375000000000005
persistence,6,200,0.00899435,0.09483854701544094,0.05503,0.00899435,0.0,9.483854701544093,5.503
persistence,7,200,0.014743045000000001,0.12142094135691751,0.065295,0.014743045000000001,0.0,12.142094135691751,6.5295000000000005
luna_full,1,200,0.0037414725000000006,0.061167577195766064,0.031505,0.003700165000000001,-0.011163691348899274,6.116757719576606,3.1504999999999996
luna_full,2,200,0.0037587366999999997,0.06130853692594531,0.035624,0.003475485,-0.08149990576854726,6.130853692594531,3.5624000000000002
luna_full,3,200,0.0057551875,0.07586295209125465,0.042598000000000004,0.00551848,-0.04289360476073112,7.586295209125465,4.2598
luna_full,4,200,0.00730179165,0.08545052164849551,0.0465325,0.00704931,-0.035816505445213975,8.545052164849551,4.65325
luna_full,5,200,0.008515904400000001,0.09228165798250486,0.052301,0.007779505,-0.09465890181958891,9.228165798250485,5.2301
luna_full,6,200,0.009521231750000001,0.09757679924039321,0.057289500000000014,0.00899435,-0.05857919138125611,9.757679924039321,5.728950000000001
luna_full,7,200,0.01589514935,0.12607596658364353,0.0688855,0.014743045000000001,-0.07814561713675827,12.607596658364354,6.88855
terra_full,1,200,0.0037220650000000005,0.06100872888366058,0.030525000000000004,0.003700165000000001,-0.005918654978899429,6.100872888366058,3.0525
terra_full,2,200,0.0035603399999999995,0.05966858469915303,0.03381,0.003475485,-0.024415297433307837,5.966858469915303,3.381
terra_full,3,200,0.0058127249999999995,0.07624122900373524,0.042595,0.00551848,-0.053319935924384776,7.624122900373524,4.2595
terra_full,4,200,0.00748259,0.08650196529559313,0.04478,0.00704931,-0.061464171670702505,8.650196529559313,4.478
terra_full,5,200,0.008321795,0.09122387297193646,0.052164999999999996,0.007779505,-0.0697075199514623,9.122387297193645,5.2165
terra_full,6,200,0.009092485,0.09535452270343553,0.056265,0.00899435,-0.01091073840800072,9.535452270343553,5.6265
terra_full,7,200,0.015075385000000002,0.1227818594092792,0.06785500000000001,0.014743045000000001,-0.02254215462273912,12.27818594092792,6.785500000000002
sol_full,1,200,0.0035720300000000003,0.0597664621673393,0.0296,0.003700165000000001,0.03462953679092706,5.97664621673393,2.96
sol_full,2,200,0.0037034200000000002,0.06085573103660821,0.03447,0.003475485,-0.06558365235355645,6.085573103660821,3.447
sol_full,3,200,0.0056910400000000005,0.07543898196555943,0.041420000000000005,0.00551848,-0.03126948000173968,7.543898196555943,4.142
sol_full,4,200,0.00715481,0.08458610997084569,0.04468,0.00704931,-0.014966003764907532,8.458610997084568,4.468
sol_full,5,200,0.008386065,0.09157546068680189,0.05104500000000001,0.007779505,-0.07796897103350409,9.157546068680189,5.104500000000001
sol_full,6,200,0.009406510000000002,0.09698716409917346,0.054990000000000004,0.00899435,-0.045824323047246596,9.698716409917346,5.4990000000000006
sol_full,7,200,0.01570694,0.1253273314165749,0.0659,0.014743045000000001,-0.06537964172258826,12.53273314165749,6.59
ridge_price,1,200,0.003802297175568119,0.06166276976886555,0.030562833926218547,0.003700165000000001,-0.02760205979141972,6.166276976886555,3.0562833926218547
ridge_price,2,200,0.0035110471789609955,0.05925408997665052,0.033428934971435564,0.003475485,-0.010232292460187642,5.925408997665052,3.3428934971435567
ridge_price,3,200,0.005543804933705696,0.07445673195692715,0.04071541708859276,0.00551848,-0.004589113978069381,7.445673195692715,4.071541708859276
ridge_price,4,200,0.007250344700893391,0.08514895595891585,0.04439709922148504,0.00704931,-0.028518351568223244,8.514895595891584,4.439709922148504
ridge_price,5,200,0.00802244557569203,0.08956810579493144,0.051017438283052205,0.007779505,-0.031228281965501647,8.956810579493144,5.101743828305221
ridge_price,6,200,0.009311743626327744,0.09649737626654802,0.0552395678392471,0.00899435,-0.035288111573125835,9.649737626654801,5.52395678392471
ridge_price,7,200,0.015079778480907515,0.12279974951484028,0.0655796109577371,0.014743045000000001,-0.022840158251400178,12.279974951484029,6.55796109577371
ridge_full,1,200,0.0038057658419437712,0.061690889456578364,0.0305898573975453,0.003700165000000001,-0.02853949538568412,6.169088945657837,3.05898573975453
ridge_full,2,200,0.0035081098641180277,0.059229299034498355,0.033612812972201554,0.003475485,-0.00938713995831586,5.922929903449836,3.3612812972201556
ridge_full,3,200,0.005516525107551822,0.07427331356248906,0.04058171563141325,0.00551848,0.0003542447282908201,7.4273313562489065,4.058171563141325
ridge_full,4,200,0.007180323430381961,0.08473678912008621,0.04428760974260844,0.00704931,-0.018585284287676584,8.473678912008621,4.428760974260844
ridge_full,5,200,0.007949111590922072,0.0891577904107211,0.050731555967780784,0.007779505,-0.021801720150841364,8.91577904107211,5.073155596778078
ridge_full,6,200,0.009214223224264895,0.09599074551364259,0.05453337897530466,0.00899435,-0.0244457047218416,9.599074551364259,5.453337897530465
ridge_full,7,200,0.014999461718178276,0.12247228959310867,0.06498864382005679,0.014743045000000001,-0.01739238523509057,12.247228959310867,6.498864382005679
