dimension,group,method,samples,events,points,coverage,mse,rmse_pp,mae_pp,persistence_mse,skill,paired_mse_difference,paired_difference_ci_low,paired_difference_ci_high
price_position,boundary <=0.05 or >=0.95,luna_full,85,54,595,1.0,0.00020756263865546218,1.4407034346299803,0.8763193277310924,0.00017410924369747898,-0.19214025773444665,3.3453394957983195e-05,4.882480096308189e-06,6.294679182047494e-05
price_position,interior,luna_full,115,87,805,1.0,0.013384341614906833,11.569071533579017,7.668695652173914,0.012606798757763975,-0.06167647093311479,0.0007775428571428575,-0.0006485346428571438,0.0022862386027955066
price_position,boundary <=0.05 or >=0.95,persistence,85,54,595,1.0,0.00017410924369747898,1.3195046180195011,0.7991596638655464,0.00017410924369747898,0.0,0.0,0.0,0.0
price_position,interior,persistence,115,87,805,1.0,0.012606798757763975,11.228000159317766,7.320621118012424,0.012606798757763975,0.0,0.0,0.0,0.0
price_position,boundary <=0.05 or >=0.95,ridge_full,85,54,595,1.0,0.0001562791823952097,1.2501167241310296,0.8302995894894557,0.00017410924369747898,0.1024073215391691,-1.7830061302269288e-05,-5.3955160738888916e-05,9.148641881824276e-06
price_position,interior,ridge_full,115,87,805,1.0,0.012846854710493186,11.334396636121918,7.319854949555266,0.012606798757763975,-0.019041785098804054,0.00024005595272921093,-0.0004380197578843529,0.0009502375472647496
price_position,boundary <=0.05 or >=0.95,ridge_price,85,54,595,1.0,0.0001555391895244571,1.2471535171118955,0.7848893208586761,0.00017410924369747898,0.10665748571792089,-1.857005417302187e-05,-4.312316838178829e-05,2.726766625106306e-07
price_position,interior,ridge_price,115,87,805,1.0,0.012933846604526764,11.372707067592467,7.393551428378204,0.012606798757763975,-0.0259421803303852,0.0003270478467627888,-0.00020195042023580013,0.0008974898496717468
history_volatility,1pp < std <=5pp,luna_full,96,74,672,1.0,0.005343299270833333,7.309787459860467,4.1233184523809525,0.004896244047619048,-0.09130574760293664,0.0004470552232142856,-0.00023530266091792318,0.0011165153703857982
history_volatility,std <=1pp,luna_full,49,32,343,1.0,9.351495626822158e-05,0.9670313142200803,0.5387463556851312,8.876676384839653e-05,-0.05349065589384794,4.748192419825044e-06,-1.7736744476838373e-05,3.041233312074827e-05
