display_theme,candidate_id,source_event_id,target_event_id,source_title,target_title,semantic_score,shared_day_count,full_period_signed_corr,peak_local_signed_corr,peak_window_start_utc,peak_window_end_utc,high_corr_window_count,high_corr_window_fraction,peak_lag_days,direction_hint,leading_event_id,lagging_event_id,calendar_ec_hybrid_score
crypto,p2-17022-to-15900,17022,15900,Bitcoin all time high by March 31?,Ethereum all time high by March 31?,0.7238637940335806,71,0.9229050301936216,0.9837718019463829,2025-02-23 00:00:00+00:00,2025-03-01 00:00:00+00:00,21,0.3230769230769231,-3.0,target_leads_source,15900,17022,0.9057993995725422
crypto,p2-17026-to-17022,17026,17022,Solana all time high by March 31?,Bitcoin all time high by March 31?,0.708292610130791,71,0.8858878486372694,0.982888548317226,2025-03-25 00:00:00+00:00,2025-03-31 00:00:00+00:00,39,0.6,2.0,source_leads_target,17026,17022,0.9005097668612955
crypto,p2-17023-to-15901,17023,15901,Bitcoin all time high by June 30?,Ethereum all time high by June 30?,0.7092032866936934,121,0.7305430233017891,0.9747966083692626,2025-01-28 00:00:00+00:00,2025-02-03 00:00:00+00:00,38,0.33043478260869563,3.0,source_leads_target,17023,15901,0.8951186118665918
crypto,p2-17051-to-15901,17051,15901,XRP all time high by when?,Ethereum all time high by June 30?,0.6389638668838759,161,0.8479664349792577,0.9792095669242037,2025-03-06 00:00:00+00:00,2025-03-12 00:00:00+00:00,42,0.2727272727272727,2.0,source_leads_target,17051,15901,0.8771358569121054
crypto,p2-17026-to-15900,17026,15900,Solana all time high by March 31?,Ethereum all time high by March 31?,0.6920176449193454,71,0.9779443989668031,0.9534155081607433,2025-02-03 00:00:00+00:00,2025-02-09 00:00:00+00:00,26,0.4,0.0,synchronous,,,0.8749961491883238
crypto,p2-17051-to-17042,17051,17042,XRP all time high by when?,Dogecoin all time high by when?,0.5764908035947154,150,0.8011057394540024,0.9892757128962583,2025-05-27 00:00:00+00:00,2025-06-02 00:00:00+00:00,38,0.3114754098360656,1.0,source_leads_target,17051,17042,0.8654402401057953
crypto,p2-17042-to-17023,17042,17023,Dogecoin all time high by when?,Bitcoin all time high by June 30?,0.6325461834569077,110,0.6049927160706712,0.9631077519338523,2025-05-03 00:00:00+00:00,2025-05-09 00:00:00+00:00,18,0.21951219512195122,-3.0,target_leads_source,17023,17042,0.8639392813907689
crypto,p2-17042-to-15901,17042,15901,Dogecoin all time high by when?,Ethereum all time high by June 30?,0.6187072520635576,151,0.9190841655657189,0.9653155878377359,2025-05-29 00:00:00+00:00,2025-06-04 00:00:00+00:00,29,0.23770491803278687,-3.0,target_leads_source,15901,17042,0.8613330871054824
crypto,p2-17051-to-17023,17051,17023,XRP all time high by when?,Bitcoin all time high by June 30?,0.6532558880087992,120,0.6582843457483375,0.9453177534659237,2025-05-04 00:00:00+00:00,2025-05-10 00:00:00+00:00,25,0.21929824561403508,0.0,synchronous,,,0.8576991938287863
crypto,p2-15901-to-17022,15901,17022,Ethereum all time high by June 30?,Bitcoin all time high by March 31?,0.2910995010104058,71,0.9699219526071682,0.9502613371894524,2025-03-05 00:00:00+00:00,2025-03-11 00:00:00+00:00,24,0.36923076923076925,0.0,synchronous,,,0.7525127863357384
crypto,p2-17051-to-17026,17051,17026,XRP all time high by when?,Solana all time high by March 31?,0.2869240749651605,70,0.505159338213937,0.9412958017610463,2025-03-17 00:00:00+00:00,2025-03-23 00:00:00+00:00,22,0.34375,-3.0,target_leads_source,17026,17051,0.7449842837222805
crypto,p2-17023-to-17026,17023,17026,Bitcoin all time high by June 30?,Solana all time high by March 31?,0.28451738439170293,71,0.7917709693696074,0.9305106773437141,2025-02-01 00:00:00+00:00,2025-02-07 00:00:00+00:00,17,0.26153846153846155,-2.0,target_leads_source,17026,17023,0.7367126894581107
germany,p2-18566-to-15625,18566,15625,AfD % of vote in German Election? [2% Brackets],AfD % of vote in German Election?,0.7415418760245926,29,0.9969686099160853,0.9997851345913562,2025-02-21 00:00:00+00:00,2025-02-27 00:00:00+00:00,11,0.4782608695652174,0.0,synchronous,,,0.9223121570213271
germany,p2-17241-to-17239,17241,17239,Will The Left wins 5% or more of vote in German election? ,FDP wins 5% or more of vote in German election? ,0.5957213087227146,50,-0.6439166327082936,-0.9939432646582994,2025-02-22 00:00:00+00:00,2025-02-28 00:00:00+00:00,18,0.4186046511627907,3.0,source_leads_target,17241,17239,0.874476677877624
germany,p2-15633-to-15628,15633,15628,Greens win over 15% of vote in German election? ,SPD % of vote in German Election?,0.5139480299771914,88,-0.8114855945661846,-0.9967750653976332,2025-02-21 00:00:00+00:00,2025-02-27 00:00:00+00:00,25,0.3048780487804878,3.0,source_leads_target,15633,15628,0.8519269547715006
